aafkagh	to burst
ayagutaq	implement used to push boat away from ice or ice away from the boat; permanent support in a tent
ayagyu	temporary skin or canvas tent hung up inside a dwelling as a sleeping area to increase warmth at night
ayakagh	to intentionally singe food before eating it; to barbecue; to roast over a fire
ayakigha	to travel (by boat) by pushing off from chunks of ice or pushing ice out of the way
ayakite	to suddenly hit barrier; to encounter a blast of wind
ayakmitagh	for wind to blow against it; for winds to blow against each other
ayaniqe	to feel nostalgia
ayapegh	to lean on or with one's hand
ayaqighte	to lean against something
aya	to go far
ayeme	to break relatively long thin object
ayemkagh	to break; to break something off of (it)
ayemqe	to break long thin object to pieces
ayemqugh	to break long thin object to pieces
ayemruugte	to exercise the legs by walking
ayepsugigh	to do something (e.g. fasten something) securely
ayepsugite	to be sturdy
ayghigh	to be accustomed to something; to become set a certain way
ayghuugh	to replace broken parts; to refurbish; to repair
aygugh1	to travel against the wind or into headwind
aygugh2	to go north
aygughike	to doubt
aygughitiqe	to be in doubt about something
aygughniite	for there to be sea ice conditions making travel difficult 
aygughnin	ice blown into a cake by wind against a southern shore
aymaakae	carcass; gunstock
ayngalqiwa	net made from reindeer sinew used to entrap furbearing animals
ayngananga	to play a musical instrument
ayngusi	to make chewing gum by cooking seal oil until very gummy
ayugigh	to tighten (screws and the like); to fasten more securely
ayugite	to be durable; to be sturdy
ayullaghqe	to not heal due to further aggrevation 
ayumiineq	folktale narrator; storyteller
ayuqesighagh	to mimic
ayuqe	to be a certain way; to resemble; to be like 
ayuste	to go or cause to go very far
ayu	to progress; to continue; to keep on going
ayuutqe	to have happened quite a while ago; to have gone too far
ayvamiqe	to become exhausted from over-exertion; to be feel run down
ayvasaa	to feel ill
ayva	to be ill
ayveghagh	to catch walrus
ayveliigh	to cook walrus
Ayvigteq1	Aivichtik River and Camp Iveetok at its mouth on St. Lawrence Is.
ayvii	to butcher walrus on the ice
azigughte	to begin to warm up (of area, room, house, etc. with a source of heat)
azigutigh	to take shelter; to provide with shelter
azi	to have an abundance of food and the like; to be able to get whatever one wants
efleghte	to drive away (especially animals)
eflequgh	to tell forcefully to leave; to expel
eflughaagh	to repeatedly run one's hand over (it); to feel
eflugh 	to run one's hand or fingers over (it)
efqughute	to do the right, appropriate or pleasing thing
efsug	to shake or brush off dirt or snow
efsulqutaagh	to stall in sailing; to shake
ege	to render
egge	to crimp boot soles with one’s teeth
eggmagh	to repeatedly bite; to bite on (it)
eggmiigh	to hold something clamping it between upper and lower teeth
eggmillgha	to speak or simply vocalize in anger or contempt while clamping one's lower lip between one's teeth
eggneke	to go straight through without stopping
eggngighteqe	to try to complete a task; to make an effort
eggngiigmeng	putting more effort into it
eghhe	to have dermatitis; to have dry, flaky, whitish skin patches especially on the face
eghhwaaqaghte	to thrust into a hole; to thrust something into, or get something thrust into, one's throat
eghneq	day; today
eghqaalingite	to be thrifty; to not discard things; to not be wasteful
eghqaataqe	to be spread out; to be scattered; to scatter; to discard many things at once
eghqwaagh	to make an offering of food
eghte1	to dawn; for day to break
eghte2	to recur; to happen again; to repeat
egllu, eglluk	stove
egmigh	to rush by without stopping; to go all the way to one’s destination without stopping
egnaangite	to be slow or slothful
egte	to throw away
egtugte	to have a pounding heart
egtugute1	to get worried
egtugute2	to gather
egyug	to act too soon without considering the consequences
egzinga	to be all scratched up (of walrus hide)
ellmaaragte	for wind to die down; for weather to clears up
ellmiga	to feel paranoid
ellmigute	to become permanent or almost so (of stain or odor)
ellmikaghti	to have one's words come back at one adversely
ellngaghseketagh-	to drain completely
ellngagh	to leak out liquid (as from hole in container)
elpegrightugh	to sense something
elqemsiighwagh	to be delirious; to doze lightly dreaming a little
elqiigh	to use one's hand as a sunshade; to put on a peak-cap or visor
elqughaghte	to hit on the mark; to get (it) just right
elqughtagh	to confront one concerning his accusations against you
elqughte	to tell the facts about something no matter how unpleasant they may be
elqughute	to do something right; to behave correctly
elqughutngagh	to be lucky
eltekeltagh	to giggle; to snicker
elte	to leak air (out); to deflate
eltughneq	pile of chunks of sea ice extending down to ocean floor held there by weight of ice above water surface; pressure ridge stuck to bottom of sea
eltugh	to be stuck; to be caught; to be unable to proceed
emama	child's word used when he/she wants to suck breast or bottle
emsighqe	to mend by sewing
emuri	fish guts which are in a dugout or used to feed dogs
enankin	let other(s) do it because they are better able to; doubtlessly; certainly
enleg	attached or fastened to something secure
enlegkutaq	log towed by reindeer (used in training)
epesigh	to smother or suffocate; to air out
epe	to become stale; to become flat-tasting
esavghagh	to move boat on sea ice using small sled
esavghaq	sled used to haul a boat on the ice
esghaghlaataqu	to ignore the wishes of another because one can do so
esghaghlaataqu	to look down on and act accordingly
esghaghte	to show
esghagh	to open one's eyes; to see
esghaghtugh	to take a good look at (the target)
esghaghwaagh1	to look carefully at something
esghaghwaagh2	to have visions; to have hallucinations
esghalluug	to angrily look at someone 
esghapagsagh	to show off
esghapag	to watch; to look at
esghapiqu	to look or act haughty or arrogant
esghaqagh	to glance at; to open one's eyes briefly
esghaqu	to look around now and then for (it)
esiqaghte 	to splash
esiqghute	to toss out liquid
esiqghuute	to splash when hitting the water hard
eskiitiinga	to ice-skate
eslaaghlleq	shorefast ice that has blown loose from where it was fixed due to a strong wind
eslakeraagh	to hesitate due to bad weather
eslallekerghagh	to rain only a little
eslallugughte	to rain
eslalluuk	bad weather; storm
eslaneghsite	to improve the weather through shamanism
eslasugnite	to be sky-blue
eslege	to be stout; thick in diameter
esleqe	to fill up full ; to become full (of the moon)
esleqnga	to be full; to be full (of the moon)
eslevagaq	dish of fish eggs and seal oil whipped together
eslugh	to go south; to travel with the wind
Esneghak	channel connecting Niyrakpak (Naayvaghpak) Lagoon to ocean on St. Larence Is.
esneghaq	lagoon opening to the sea
esnegrakegte	to be very dark in color
esneli	to prepare edge of walrus skin for splitting
esnevagh	to approach the coast from the sea
esnighagh	to squirt; to flow out forcefully
esnighqwagh	to beachcomb
esnighte	to go along the shore; to beachcomb; to walk around
esnigh	to bruise
esni	to prepare edge of walrus skin for splitting
esquughqe	to be covered with mosquito bites
estaaghagh	to slide down repeatedly
esteggaghte	to get a blister; to scrape a layer off a layer of one’s skin
esteg	to delaminate; to peel off in layers; to skin (it – not carcass); to slide down (of pants, socks, etc.)
esteqe	to persevere; to endure; to tense muscles and keep them tensed
este	to leak air (out); to deflate
estugaq*	store
estugigh	to trim one’s nails
estugmig	to scratch with fingernails; to protect using the claws; to beat with hoofs
estuk	fingernail; toenail; claw; hoof
estulgha	to go forward fast especially when sliding downward
estullugneq	knot at end of rope to keep it from slipping through hole
estullugtelleq	knot at end of rope to keep it from slipping through hole
estullugte	to tie knot at the end of a rope to keep it from slipping out of something
estu 	to slide
ete	to be
evelegtagh 	to vibrate; to bounce
evlegh	to shimmer; to glitter; to be shiny
evleqegte	to be shiny
evzi	limp thing(s); thing(s) that have collapsed together
gaagh	to cook
gaaghusiq	cooking pot; stove; cooking device
gaaleq	small net to catch seals
gagsawi	to be in a hurry
gaymaangike	to be able to do something (?)
gaymaangitke	to probably be continuing despite anything; to use wastefully
gaymaawi	to be completely engrossed in what one is doing; to use something extravagantly; to enjoy life; to live in satisfaction
gelgaghniigh	to commit adultery
geve	to render oil from fat; to compress; to slip one’s mind
gevragh	to ooze out
ggaagiite	to become dull through long use
ggata	upper part of body or garment; torso; back of person; shirt or blouse
ggiighsi	to be in pain from a wound
ggiightenge	to hurt (of wound)
ggiinaghruugte	to get a sick, tired expression; to frown at someone
ggiisaqu	to keep on clenching one’s the teeth (often of a polar bear)
ggiiste	to clench one's teeth
gginaghlluugte	to get a sick, tired expression; to frown at someone
gginaghsi	to come to know or recognize (a person)
gginasaghqugh	to look right in the eye; to come face to face with
gginasaghte	to hit in the face or front
ggutangigh	to lose a tooth (naturally or through extraction); to extract a tooth
gguta	tooth
gguterugutkaq	something frozen into the ice
gguusiqe	to have a toothache
gguutngigh	to lose a tooth (naturally or through extraction); to extract a tooth
ghemru, ghemrug-	to envy another's success in hunting
gheve	to fade; to discolor; to calm down after anger; to have the dirt get washed out
ghevraag	to be pale
ghhaalgha	noise made when one is in a trance as if chattering teeth but with tongue between them
ghhataghqe, ghhataghqugh-	to peel off
ghhatagh	to lift off from the surface
ghhiighsagh	to break in (machinery, vehicle, etc.)
ghhiigh	to get broken in (of a new item)
ghhiitagh	to pluck
ghhuughaghte	to be washed away by high water
ghhuughagh	to inhale and exhale forcefully; to pant
ghhuughpagtagh	to puff up in various places; to bubble, to blister
ghhuugh	to inflate
ghhuuligh	to load (a gun)
ghhuute	to be cold (of humans and animals)
ghhuu	to freeze (to death); to die by freezing
ghhuuyugaghte	to have chills going up and down the spine
ghhuuyugniighsagh	to dress for the cold
ghhuuyug	to feel chills as from illness
giimaq	ivory socket at end of harpoon shaft into which fits the piece (tungik) between the point and the shaft of the harpoon
gugu-gu-gu-guy	a call to the master of the heavens
guughqe	to bend over forward
guughqe	to bend over forward putting the head down
guughte	to bend one’s head down
guullaataqu	to shoot very well; to catch lots of seals; to dance very well
